x (m);0.06;0.65;1.65;3.65;5.65;7.65;9.65;11.65;15.65
U1 (cm/s);25.3146368421053;28.5151227272727;28.7198944444444;29.37429;28.6915888888889;28.8247888888889;29.2883277777778;28.5633833333333;28.2154666666667
U2 (cm/s);24.972775862069;27.89994;28.6074055555556;30.119378125;28.1613210526316;28.3048684210526;29.4988263157895;28.3171944444444;28.4734736842105
Us (cm/s);-0.341860980036294;-0.615182727272728;-0.11248888888889;0.745088124999999;-0.530267836257309;-0.519920467836261;0.210498538011699;-0.246188888888891;0.258007017543857
Uc (cm/s);25.1437063520871;28.2075313636364;28.66365;29.7468340625;28.4264549707602;28.5648286549708;29.3935770467836;28.4402888888889;28.3444701754386
Ui (cm/s);ND;ND;ND;ND;ND;ND;ND;ND;ND
yc (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
yi (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
lambda;-0.0067981421523386;-0.0109045828814674;-0.00196222199351601;0.0125238222567572;-0.0093270131080845;-0.0091007104246324;0.00358068937435997;-0.00432817138128778;0.00455127606808168
dU/dy max (s-1);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v/h;ND;ND;ND;ND;ND;ND;ND;ND;ND
h / cf (m);4.38689682960782;4.5076062972063;4.59704222203874;4.65350053137422;4.55350680494346;4.67211888368353;4.62268843188659;4.62319040341335;4.80823123232774
h1 (mm);26.8220676565282;26.8220676565282;26.5003442466398;26.8184268260278;26.6184321395267;26.8720969491669;26.8887983722782;27.1285186479164;27.8197283831941
h2 (mm);26.1127470784445;26.1127470784445;27.1180821453614;26.9543416991387;26.6718328617486;27.4905094232784;26.7150390159169;26.8162380420837;27.9035559915839
h (mm);26.4674073674863;26.4674073674863;26.8092131960006;26.8863842625832;26.6451325006376;27.1813031862227;26.8019186940976;26.972378345;27.861642187389
cf1;0.00600405213236877;0.005838038640689;0.00584473198683423;0.00579780396940708;0.00583994127225557;0.0058206806897784;0.00579820085303955;0.00582011431721214;0.00580255436915435
cf2;0.00606252175596791;0.00590540371978962;0.00581894735353561;0.00575753338633767;0.00586318497396445;0.00581485507586665;0.00579761361250914;0.0058481822448702;0.00578658968035123
cf;0.00603328694416834;0.00587172118023931;0.00583183967018492;0.00577766867787237;0.00585156312311001;0.00581776788282253;0.00579790723277435;0.00583414828104117;0.00579457202475279
S;ND;ND;ND;ND;ND;ND;ND;ND;ND
Max V/Uc (%);4.4277579060768;1.61665689124981;1.38198935050232;0.921414888737139;0.451023245155896;0.712832915212729;0.585440268580895;0.803152224524629;0.549236966057108
Froude1;0.493504447552627;0.555897363892335;0.563277725847568;0.572685550138538;0.561472978215576;0.561410915939143;0.57026192438203;0.553684167053956;0.540102628946471
Froude2;0.493407826936224;0.551242234467023;0.554644209328761;0.585729546700822;0.550544070568747;0.545048617959348;0.576225305396034;0.55209878733212;0.54422209904156
Re1 ;6789.9090207939;7648.34551025113;7610.87089504934;7877.7224693152;7637.25111814088;7745.82521561491;7875.27940277862;7748.82277405917;7849.46618871735
Re2;6521.07779932892;7285.44076723777;7757.77973821225;8118.48009746814;7511.14048281832;7781.15252053602;7880.62295950073;7593.60626906191;7945.11167222259
number of measuring points across the channel;62;62;37;37;37;37;37;37;37
