Reference;Q Lagnieu;CL aval
Hernandez ;86;182,6
Hervé;150;182,40
Hervé;200;182,40
Hervé;250;182,40
Hervé;300;182,40
Hervé;350;182,40
Hervé;400;182,40
Hervé;450;182,40
Hervé;500;182,40
Hervé;550;182,40
Hervé;600;182,41
Hervé;650;182,44
Hervé;700;182,46
Hervé;750;182,48
Hervé;800;182,50
Hervé;850;182,51
Hervé;900;182,52
Hervé;950;182,53
Hervé;1000;182,53
Hervé;1050;182,54
Hervé;1100;182,55
Hervé;1150;182,56
Hervé;1200;182,57
Hervé;1250;182,58
Hervé;1300;182,58
Hervé;1350;182,59
Hervé;1400;182,60
Hervé;1450;182,60
Hervé;1500;182,60
Hernandez ;2100;182,4
Hernandez ;4500;182,25
